dataset,question,golden_text
wikitext,When was Wikipedia launched?,"Wikipedia was launched on January 15, 2001, by Jimmy Wales and Larry Sanger."
wikitext,What is artificial intelligence?,"Artificial intelligence (AI) is intelligence demonstrated by machines, as opposed to intelligence of humans and other animals."
wikitext,Who invented the World Wide Web?,The Web was invented by Tim Berners-Lee at CERN in 1989.
wikitext,What is machine learning used for?,"Machine learning algorithms are used in a wide variety of applications, such as in medicine, email filtering, speech recognition, and computer vision."
wikitext,How many articles does English Wikipedia have?,The English Wikipedia has over 6 million articles.
wikitext,What is artificial intelligence? (variation 5),"Artificial intelligence (AI) is intelligence demonstrated by machines, as opposed to intelligence of humans and other animals."
wikitext,What is machine learning used for? (variation 6),"Machine learning algorithms are used in a wide variety of applications, such as in medicine, email filtering, speech recognition, and computer vision."
wikitext,What is artificial intelligence? (variation 7),"Artificial intelligence (AI) is intelligence demonstrated by machines, as opposed to intelligence of humans and other animals."
wikitext,What is machine learning used for? (variation 8),"Machine learning algorithms are used in a wide variety of applications, such as in medicine, email filtering, speech recognition, and computer vision."
wikitext,What is artificial intelligence? (variation 9),"Artificial intelligence (AI) is intelligence demonstrated by machines, as opposed to intelligence of humans and other animals."
chatlogs,How do I reset my password?,"To reset your password, click on the 'Forgot Password' link on the login page. You will receive an email with instructions to reset your password."
chatlogs,What should I do if my account shows incorrect balance?,Provide your account number and the last transaction you made. The support team will investigate the issue.
chatlogs,How can I upgrade my subscription?,Go to your account settings and click on 'Subscription'. You'll see an 'Upgrade' button next to your current plan.
chatlogs,What should I do if the app keeps crashing?,"Restart your phone, check the app version, and make sure your operating system is up to date."
chatlogs,How do I fix download issues for updates?,"Check your internet connection and make sure you have enough storage space on your device. If the problem persists, try uninstalling and reinstalling the app."
chatlogs,How do I reset my password? (variation 5),"To reset your password, click on the 'Forgot Password' link on the login page. You will receive an email with instructions to reset your password."
chatlogs,What should I do if the app keeps crashing? (variation 6),"Restart your phone, check the app version, and make sure your operating system is up to date."
chatlogs,How do I reset my password? (variation 7),"To reset your password, click on the 'Forgot Password' link on the login page. You will receive an email with instructions to reset your password."
chatlogs,How do I fix download issues for updates? (variation 8),"Check your internet connection and make sure you have enough storage space on your device. If the problem persists, try uninstalling and reinstalling the app."
chatlogs,How do I reset my password? (variation 9),"To reset your password, click on the 'Forgot Password' link on the login page. You will receive an email with instructions to reset your password."
state_of_the_union,How much did the administration cut the deficit in the second year?,"In the second year, they cut the deficit by more than $900 billion."
state_of_the_union,How many manufacturing jobs were created since the administration took office?,"Over 500,000 manufacturing jobs were created since the administration took office."
state_of_the_union,What word does the speaker use to define America to world leaders?,The speaker defines America in one word: possibilities.
state_of_the_union,Who does the speaker address at the beginning of the speech?,"The speaker addresses Mr. Speaker, Madam Vice President, the First Lady and Second Gentleman, Members of Congress and the Cabinet, and others."
state_of_the_union,What issue does the speaker mention about the middle class?,"For decades, the middle class has been hollowed out, with too many jobs moved overseas and factories closed down."
state_of_the_union,What issue does the speaker mention about the middle class? (variation 5),"For decades, the middle class has been hollowed out, with too many jobs moved overseas and factories closed down."
state_of_the_union,How many manufacturing jobs were created since the administration took office? (variation 6),"Over 500,000 manufacturing jobs were created since the administration took office."
state_of_the_union,What word does the speaker use to define America to world leaders? (variation 7),The speaker defines America in one word: possibilities.
state_of_the_union,How much did the administration cut the deficit in the second year? (variation 8),"In the second year, they cut the deficit by more than $900 billion."
state_of_the_union,Who does the speaker address at the beginning of the speech? (variation 9),"The speaker addresses Mr. Speaker, Madam Vice President, the First Lady and Second Gentleman, Members of Congress and the Cabinet, and others."
